nombreVacante,area,nivelPuesto
Repartidor en Motociclera,Operativo,Operativo
COSECHADOR DE HORTALIZAS,Comercialización,Operativo
Sales Representative A,Comercialización,Técnico especializado
Gerente de ventas ,Finanzas y Contabilidad,Mandos medios
Especialista en logística automotriz,Logística,Mandos medios
Asesor telefónico,Operativo,Operativo
Guardia de seguridad,Operativo,Operativo
ASESORA DE VENTAS,Comercialización,Técnico
Auxiliar administrativo,Administración,Becario
CHOFER BODEGUERO ,Operativo,Operativo
AUXILIAR ADMINISTRATIVO,Administración,Mandos medios
OPERADOR DE PRODUCCIÓN,Operativo,Operativo
Instalador de Carpinteria,Producción,Técnico
Auxiliar de Fotografía,Operativo,Operativo
Operador de camión de volteo,Operativo,Operativo
Nominista,Administración,Técnico especializado
Analista de Compras MRO,Finanzas y Contabilidad,Técnico
Asesor telefónico de cobranza,Operativo,Operativo
Cajero de tienda de autoservicio,Operativo,Operativo
Ingeniero de preventa,Comercialización,Técnico especializado
Asesor telefónico,Operativo,Operativo
Almacenista,Operativo,Operativo
Agente de ventas,Administración,Mandos medios
Auxiliar administrativo,Administración,Operativo
Ingeniero estructural,Administración,Técnico especializado
ANALISTA DE PACAS,Calidad,Técnico
Cortador Flash Cut,Producción,Operativo
DESPACHADOR DE GASOLINA,Operativo,Operativo
Suplente de preventa,Comercialización,Operativo
Ayudante General de Obra ,Construcción,Operativo
Promotor de ventas,Operativo,Operativo
Inspector de calidad en industria metal mecánica,Calidad,Operativo
Abastecedor,Producción,Operativo
Auxiliar administrativo,Administración,Mandos medios
Ayudante general,Operativo,Operativo
Auxiliar de Lácteos,Operativo,Operativo
Auxiliar contable,Finanzas y Contabilidad,Mandos medios
Recepcionista ,Administración,Técnico
Agente de ventas,Operativo,Operativo
Operador de cafeteria,Operativo,Operativo
Inspector de calidad,Calidad,Operativo
Mozo de areas Publicas,Operativo,Operativo
Cambiador de moldes,Producción,Técnico
Auxiliar contable,Finanzas y Contabilidad,Mandos medios
Ingeniero en sistemas de cómputo,Informática,Técnico especializado
Departamento de Negocios de Viajes Mercado Japonés,Comercialización,Técnico
Ingeniero mecánico industrial,Operativo,Técnico especializado
operador de cnc,Producción,Operativo
Soldador en industria metal mecánica,Operativo,Operativo
 CHOFER DE PATIO,Comercialización,Operativo
Auxiliar contable,Finanzas y Contabilidad,Operativo
DESPACHADOR ANALISTA,Administración,Técnico
AYUDANTE GENERAL,Comercialización,Operativo
Surtidor,Comercialización (compras y ventas),Operativo
Carpintero ,Producción,Técnico
Guardia de Seguridad,Operativo,Operativo
Almacenista de materia prima,Almacén,Operativo
Auxiliar de producción,Operativo,Operativo
Barman,Operativo,Técnico
AUXILIAR CONTABLE ,Finanzas y Contabilidad,Mandos medios
Operador de Costura ,Operativo,Operativo
